legid,reconstructed_duration
#29:2468,239
#23:9556,620
#26:2545,417
#24:9525,689
#22:9878,602
#23:9858,912
#24:9827,274
#29:2551,246
#22:9879,229
#26:2629,432
#23:9859,5833
#24:9828,912
#22:9898,319
#23:9878,459
#27:2607,1440
#24:9847,225
#25:9820,235
#23:10113,4066
#22:12747,1323
#23:12727,198
#26:3496,446
#24:12693,1504
#25:12662,775
#27:3468,542
#22:12748,514
#28:3442,397
#23:12728,137
#25:12663,1958
#22:12749,677
#23:12729,862
#24:12695,1131
#25:12664,355
#29:3412,258
#22:12750,269
#23:12730,244
#26:3497,230
#24:12696,244
#22:7500,2228
#25:8445,131
#22:7568,3408
#24:7486,2111
#25:7462,2809
#23:7661,372
#28:1980,1629
#24:7631,362
#24:7522,949
#26:2030,216
#24:7635,967
#23:7744,3320
#23:7745,823
#26:2051,442
#24:7715,3837
#26:2083,136
#25:7821,992
#22:7896,1052
#23:7876,567
#27:2059,749
#25:7822,359
#28:2035,950
#22:7897,91
#29:2009,165
#23:7877,1384
#24:7847,979
#22:7901,1248
#28:2036,345
#25:7827,1531
#22:8063,431
#29:2058,289
#24:8013,520
#25:7991,1911
#22:8066,2847
#24:8016,422
#24:8315,515
#26:2235,422
#25:8291,2384
#22:8367,739
#27:2211,115
#23:8347,619
#28:2187,371
#24:8316,2554
#25:8292,546
#22:8368,546
#23:8348,392
#24:8317,657
#25:8293,1048
#22:8369,1033
#23:8349,707
#29:2160,410
#24:8318,584
#23:8350,1519
#24:8319,1045
#25:8295,1679
#22:8371,658
#26:2236,581
#23:8351,1469
#24:8320,954
#22:8372,1273
#22:8467,363
#225:37892,348
#222:37905,484
#24:8416,484
#25:8572,1101
#22:8755,220
#27:2305,1226
#23:8735,1199
#29:2254,379
#25:8678,222
#23:8736,1722
#26:2331,379
#25:8679,2057
#23:8737,2178
#22:8759,529
#26:2332,488
#23:8739,767
#25:8682,1324
#23:8740,941
#24:8710,1042
#28:2314,118
#23:8837,800
#23:9003,2471
#22:9024,1138
#23:9006,912
#25:8953,1023
#25:8954,586
#26:2409,538
#22:9032,786
#24:9341,599
#27:2474,364
#25:9315,768
#22:9616,1661
#23:9596,173
#24:9565,183
#25:9539,495
#22:9617,2236
#26:2552,941
#23:9597,1682
#24:9566,656
#25:9540,656
#22:9618,1018
#24:9567,1275
#25:9541,1005
#22:9619,1340
#22:9885,939
#23:9865,1178
#25:10075,1019
#23:10135,1238
#23:10136,1766
#23:10292,310
#24:10260,375
#24:10382,438
#28:2733,381
#25:10355,564
#23:10588,1045
#24:10555,731
#25:10528,975
#22:10609,1019
#24:10650,1239
#22:10704,1013
#24:10651,942
#22:10607,2093
#29:2759,416
#23:10587,4474
#26:2839,246
#24:10554,4260
#27:2812,236
#25:10527,626
#28:2788,539
#22:10608,1138
#25:10624,1141
#22:10705,1207
#23:10785,699
#26:2896,1294
#24:10752,2859
#22:11490,986
#23:11470,871
#26:3118,866
#25:11408,675
#25:11409,627
#22:11492,1058
#23:11472,1019
#22:11575,432
#27:3111,533
#28:3087,929
#24:11521,1616
#29:3057,681
#25:11492,3092
#22:11576,83
#23:11556,503
#24:11522,1088
#25:11493,743
#22:11679,1008
#23:11659,1275
#22:11680,1050
#225:46188,634
#222:46210,603
#225:46189,598
#228:12918,304
#222:46211,2772
#224:46200,1854
#225:46190,1799
#222:46212,137
#229:12912,884
#223:46207,1782
#226:12934,360
#224:46201,455
#222:46213,223
#223:46208,425
#224:46202,764
#227:12929,410
#225:46192,321
#228:12919,85
#222:46214,771
#223:46209,1253
#224:46203,260
#229:12913,238
#225:46193,211
#222:46215,1769
#226:12935,461
#227:12930,1394
#224:46204,341
#225:46194,1852
#222:46216,860
#223:46211,513
#224:46205,1805
#225:46195,855
#224:46208,1060
#226:12937,80
#225:46198,806
#223:46215,1032
#227:12932,1078
#224:46209,914
#225:46199,981
#222:46221,947
#223:46216,92
#224:46210,1150
#225:46200,459
#222:46222,526
#229:12916,66
#223:46217,864
#224:46211,418
#225:46201,872
#222:46223,565
#223:46218,4578
#225:46202,2241
#222:46224,1933
#223:46219,593
#227:12933,712
#224:46213,2532
#225:46203,78
#222:46225,556
#223:46220,235
#224:46214,107
#229:12917,394
#225:46204,2577
#222:46226,75
#223:46221,3358
#226:12939,492
#224:46215,1550
#227:12934,237
#222:46227,80
#223:46222,1513
#228:12924,775
#225:46206,2613
#222:46228,115
#223:46223,380
#224:46217,925
#225:46207,598
#229:12918,257
#222:46229,488
#223:46224,556
#226:12940,569
#224:46218,243
#227:12935,318
#225:46208,1517
#222:46230,722
#228:12925,465
#223:46225,1211
#224:46219,411
#229:12919,61
#225:46209,3008
#223:46226,1844
#224:46220,237
#226:12941,511
#225:46210,1648
#227:12936,119
#222:46232,234
#224:46222,296
#229:12920,1181
#225:46212,1792
#226:12942,927
#222:46234,2303
#227:12937,259
#223:46229,468
#224:46223,95
#225:46213,481
#222:46235,332
#223:46230,1635
#224:46224,784
#225:46214,597
#224:46764,609
#223:46772,548
#227:13090,497
#224:46766,162
#228:13080,1254
#225:46756,1203
#229:13074,1635
#222:46778,4442
#225:46888,1012
#225:46889,175
#224:46900,499
#225:47270,1143
#223:47287,915
