legid,ACT,CP,GT,WYR
#222:37009,0,0,0,0
#222:37018,1,1,0,0
#222:37020,1,0,2,0
#222:37021,1,0,0,0
#222:37023,1,0,0,0
#222:37029,0,-4,0,0
#222:37031,0,1,2,0
#222:37036,1,-1,1,0
#222:37070,0,0,-1,0
#222:37071,0,0,1,0
#222:37086,0,3,-2,0
#222:37088,0,2,0,0
#222:37089,1,5,4,1
#222:37127,0,2,-3,0
#222:37142,0,1,1,0
#222:37144,0,0,1,0
#222:37145,1,1,1,0
#222:37160,1,9,7,0
#222:37165,1,11,7,0
#222:37180,1,11,8,0
#222:37199,0,1,0,0
#222:37214,0,1,0,0
#222:37228,0,1,0,0
#222:37237,0,1,0,0
#222:37271,0,0,0,0
#222:37272,0,5,2,0
#222:37279,0,0,0,0
#222:37280,0,2,0,0
#222:37281,-1,6,1,0
#222:37313,0,0,0,0
#222:37325,0,1,6,0
#222:37334,1,3,0,0
#222:37346,0,5,2,0
#222:37347,0,0,0,0
#222:37358,1,5,1,0
#222:37373,0,3,0,0
#222:37378,0,0,7,0
#222:37379,0,0,0,0
#222:37388,0,-1,0,0
#222:37415,0,0,2,0
#222:37418,0,4,2,2
#222:37434,0,4,0,0
#222:37435,0,0,2,0
#222:37443,0,4,3,0
#222:37450,1,0,0,0
#222:37453,0,0,3,0
#222:37456,1,0,0,0
#222:37457,1,0,0,0
#222:37458,1,0,2,0
#222:37459,0,-3,0,0
#222:37460,0,-3,0,0
#222:37461,0,-1,1,0
#222:37462,0,0,0,1
#222:37465,0,-1,-2,0
#222:37466,0,0,-1,-1
#222:37503,0,-3,0,0
#222:37530,1,0,0,0
#222:37531,1,0,0,0
#222:37532,1,0,0,0
#222:37533,1,0,0,0
#222:37535,1,0,0,0
#222:37558,0,-1,0,0
#222:37570,0,2,5,0
#222:37622,0,0,1,0
#222:37723,0,0,3,0
#222:37725,0,7,0,0
#222:37726,0,0,1,0
#222:37727,0,2,0,0
#222:37731,1,0,0,0
#222:37734,0,3,2,0
#222:37752,0,0,0,0
#222:37770,0,0,0,0
#222:37771,0,0,2,0
#222:37773,0,-2,0,0
#222:37776,1,5,4,2
#222:37781,0,1,0,2
