legid,temperature_category,weather_group
#24:19277,cool,Clouds
#25:19235,cool,Clouds
#23:19326,cool,Clouds
#24:19471,cool,Clouds
#24:19470,cool,Clouds
#22:20005,cool,Clouds
#25:20000,cool,Clouds
#24:20179,cool,Clouds
#24:20239,cool,Clouds
#27:5649,cool,Clouds
#25:20197,cool,Clouds
#25:20284,cool,Clouds
#23:20477,cool,Clouds
#26:5737,cool,Clouds
#25:20388,cool,Clouds
#23:20916,cool,Clouds
#24:20869,cool,Clouds
#29:5758,cool,Clouds
#25:20827,cool,Clouds
#23:21282,cool,Clouds
#25:21194,cool,Clouds
#27:6099,cool,Clouds
#25:21687,cool,Clouds
#25:22033,cool,Clouds
#24:22077,cool,Clouds
#24:18204,cool,Clouds
#25:18162,cool,Clouds
#28:5077,cool,Clouds
#22:18284,cool,Clouds
#23:18252,cool,Clouds
#29:5040,cool,Clouds
#25:18163,cool,Clouds
#22:18285,cool,Clouds
#26:5153,cool,Clouds
#23:18253,cool,Clouds
#22:18477,cool,Clouds
#29:5092,cool,Clouds
#23:18445,cool,Clouds
#26:5205,cool,Clouds
#24:18398,cool,Clouds
#25:18681,cool,Clouds
#22:18803,cool,Clouds
#25:18682,cool,Clouds
#25:18913,cool,Clouds
#22:19031,cool,Clouds
#27:5288,cool,Clouds
#24:18950,cool,Clouds
#25:18908,cool,Clouds
#24:19029,cool,Clouds
#25:20087,cool,Clouds
#26:5660,cool,Clouds
#22:20209,cool,Clouds
#24:20127,cool,Clouds
#23:20170,cool,Clouds
#24:20123,cool,Clouds
#27:5620,cool,Clouds
#25:20081,cool,Clouds
#23:20168,cool,Clouds
#29:5545,cool,Clouds
#24:20121,cool,Clouds
#23:20171,cool,Clouds
#25:20407,cool,Clouds
#22:20529,cool,Clouds
#23:20497,cool,Clouds
#24:20451,cool,Clouds
#24:20450,cool,Clouds
#25:20404,cool,Clouds
#23:20493,cool,Clouds
#27:5702,cool,Clouds
#24:20446,cool,Clouds
#24:20944,cool,Clouds
#25:20902,cool,Clouds
#22:21024,cool,Clouds
#25:20907,cool,Clouds
#29:5783,cool,Clouds
#22:21029,cool,Clouds
