legid,act_Accompanying,act_Browsing,act_Cycling,act_Driving,act_Eating,act_Listening,act_Other,act_PersonalCare,act_ReadingDevice,act_ReadingPaper,act_Relaxing,act_Talking,act_Thinking,act_Walking,act_Watching,activity_count
#22:10995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10996,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2
#22:11006,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:11011,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11013,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2
#22:11034,True,True,False,False,False,True,False,False,False,True,True,True,False,False,False,6
#22:11035,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
#22:11045,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:11050,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:11052,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3
#22:11053,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3
#22:11058,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11065,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:11068,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11070,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:11077,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
#22:11094,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11101,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
#22:11141,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2
#22:11144,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:11147,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
#22:11150,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11152,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2
#22:11153,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2
#22:11157,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,2
#22:11159,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,5
#22:11161,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11162,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11166,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11167,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11168,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11169,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
#22:11177,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11180,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,3
#22:11185,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:11186,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2
#22:11194,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11199,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:11202,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11203,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3
#22:11218,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:11228,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11229,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:11231,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
#22:11238,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:11245,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
#22:11246,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:11249,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:11253,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:11255,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:11258,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,3
#22:11260,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11267,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11268,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11269,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:11270,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
#22:11271,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2
#22:11272,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:11283,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
#22:11286,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2
#22:11299,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11301,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:11307,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11308,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11313,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11322,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11328,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11331,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11333,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:11334,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:11335,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,2
#22:11336,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:11340,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,3
#22:11342,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11343,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11344,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11347,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,2
#22:11352,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2
#22:11353,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11356,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
#22:11366,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,3
#22:11367,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:11374,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11387,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11391,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11396,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,3
#22:11398,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11401,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11402,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:11405,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:11406,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11412,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,3
#22:11414,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
#22:11418,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11421,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:11422,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
