tripid,mood_rating,did_you_have_to_arrive
#33:4707,-1.0,-1.0
#30:5695,-1.0,-1.0
#31:5669,-1.0,-1.0
#30:4791,-1.0,-1.0
#32:5629,-1.0,-1.0
#33:4708,-1.0,-1.0
#30:4792,-1.0,-1.0
#31:4770,-1.0,-1.0
#31:4574,-1.0,-1.0
#32:4620,-1.0,-1.0
#32:4577,-1.0,-1.0
#32:4733,-1.0,-1.0
#32:4890,4.0,0.0
#32:4630,-1.0,-1.0
#31:4639,5.0,0.0
#30:4684,-1.0,-1.0
#30:4750,-1.0,-1.0
#31:4662,-1.0,-1.0
#33:4605,-1.0,-1.0
#31:4657,-1.0,-1.0
#30:4689,-1.0,-1.0
#33:4601,-1.0,-1.0
#30:4695,-1.0,-1.0
#32:4638,-1.0,-1.0
#33:5605,-1.0,-1.0
#30:4831,-1.0,-1.0
#33:4636,-1.0,-1.0
#30:5344,-1.0,-1.0
#33:4639,-1.0,-1.0
#30:4722,-1.0,-1.0
#30:4955,-1.0,-1.0
#33:4664,-1.0,-1.0
#33:4666,-1.0,-1.0
#31:4808,-1.0,-1.0
#32:4771,-1.0,-1.0
#33:4870,-1.0,-1.0
#31:4851,-1.0,-1.0
#32:4814,-1.0,-1.0
#31:4932,-1.0,-1.0
#32:4893,-1.0,-1.0
#31:4930,-1.0,-1.0
#30:4875,-1.0,-1.0
#30:5003,-1.0,-1.0
#31:4980,-1.0,-1.0
#33:6436,4.0,1.0
#32:4941,-1.0,-1.0
#31:4988,-1.0,-1.0
#31:5049,-1.0,-1.0
#31:5251,-1.0,-1.0
#32:5059,-1.0,-1.0
#33:5189,-1.0,-1.0
#32:5213,-1.0,-1.0
#30:5289,-1.0,-1.0
#33:5104,-1.0,-1.0
#32:5154,4.0,1.0
#32:5224,-1.0,-1.0
#31:5763,-1.0,-1.0
#32:5796,-1.0,-1.0
#33:5705,-1.0,-1.0
#32:5736,-1.0,-1.0
#31:5814,-1.0,-1.0
#30:5850,-1.0,-1.0
#31:6214,2.0,0.0
#33:6146,3.0,0.0
#31:13264,4.0,1.0
#31:13263,5.0,1.0
#32:13206,5.0,1.0
#31:6364,4.0,1.0
#30:6323,-1.0,-1.0
#30:6395,4.0,1.0
#32:6296,-1.0,-1.0
#33:6294,4.0,0.0
#32:6315,5.0,0.0
#32:6320,4.0,1.0
#33:6289,4.0,1.0
#33:6299,5.0,1.0
#33:6300,4.0,1.0
#33:6348,5.0,1.0
#32:6393,5.0,0.0
#30:6498,5.0,1.0
#32:6402,5.0,1.0
#33:6397,5.0,0.0
#31:6466,5.0,0.0
#32:6462,2.0,0.0
#30:6497,5.0,1.0
#30:6536,5.0,0.0
#33:6435,5.0,1.0
#32:6461,5.0,1.0
#30:6535,-1.0,-1.0
#31:6509,-1.0,-1.0
#31:6517,-1.0,-1.0
#32:6497,-1.0,-1.0
#33:6456,-1.0,-1.0
#30:6591,-1.0,-1.0
#33:6482,-1.0,-1.0
#31:6559,-1.0,-1.0
#33:6497,-1.0,-1.0
#31:6594,-1.0,-1.0
#31:6593,4.0,0.0
#32:6553,-1.0,-1.0
#30:6626,3.0,0.0
#33:6529,5.0,0.0
#30:6698,5.0,1.0
#31:6599,-1.0,-1.0
#33:6527,-1.0,-1.0
#33:6560,-1.0,-1.0
#32:6573,-1.0,-1.0
#30:6665,-1.0,-1.0
#32:6597,-1.0,-1.0
#33:6573,4.0,0.0
#31:6652,5.0,0.0
#33:6592,5.0,1.0
#31:6667,-1.0,-1.0
#31:6685,5.0,1.0
#33:6624,5.0,1.0
#32:6718,4.0,1.0
#30:6798,4.0,0.0
#31:6722,-1.0,-1.0
#32:6676,-1.0,-1.0
#30:6760,-1.0,0.0
#30:6768,-1.0,-1.0
#32:6688,-1.0,-1.0
#32:7551,3.0,1.0
#31:6784,5.0,0.0
#33:6712,4.0,0.0
#32:6710,4.0,0.0
#30:6819,4.0,0.0
#31:6823,4.0,0.0
#33:6740,4.0,1.0
#30:6847,4.0,1.0
#32:6766,4.0,1.0
#31:6813,4.0,0.0
#33:7523,5.0,1.0
#31:6872,3.0,1.0
#31:6853,5.0,0.0
#30:7642,3.0,0.0
#30:6914,5.0,0.0
#31:6958,5.0,0.0
#33:6887,3.0,0.0
#33:6903,3.0,1.0
#30:7017,4.0,1.0
#30:7049,5.0,0.0
#30:7315,5.0,0.0
#30:7222,3.0,0.0
#32:7019,5.0,0.0
#31:7105,4.0,1.0
#32:7032,5.0,0.0
#32:7227,5.0,0.0
#32:7055,3.0,1.0
#33:7027,5.0,0.0
#30:7641,4.0,0.0
#30:7144,3.0,0.0
#30:7190,5.0,1.0
#32:7133,3.0,1.0
#31:7152,3.0,0.0
#33:7102,2.0,1.0
#31:7257,3.0,0.0
#31:7306,4.0,1.0
#32:7252,5.0,1.0
#31:7303,5.0,0.0
#30:7347,4.0,1.0
#33:7261,3.0,0.0
#30:7384,4.0,0.0
#31:7345,3.0,0.0
#33:7277,3.0,0.0
#30:7396,3.0,0.0
#31:7398,5.0,0.0
#33:7319,2.0,0.0
#30:7438,2.0,0.0
#31:7399,2.0,0.0
#32:7348,3.0,0.0
#30:7463,5.0,1.0
#31:7459,4.0,0.0
#32:7550,5.0,1.0
#33:7381,3.0,0.0
#32:7454,5.0,0.0
#30:7565,4.0,1.0
#32:7440,3.0,1.0
#33:7521,5.0,1.0
#31:7526,2.0,1.0
